,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
8,1,202000,False,4Oz6xl8qhJTdjYZeT98V4m,False,True,Follow You To Virgie (OurVinyl Sessions),69,3,track,single,Tyler Childers | OurVinyl Sessions,2017,0.566,0.325,10,-8.819,1,0.0439,0.732,0.0,0.317,0.511,78.822,Alternative
9,1,170720,False,3A6nR4GSolo160nu7xtDk7,False,True,All My Favorite Songs (feat. AJR),63,1,track,single,All My Favorite Songs (feat. AJR),2021,0.605,0.7,4,-6.47,1,0.0277,0.00998,0.0,0.116,0.588,84.962,Alternative
10,1,206108,False,6g3XrmNrWVa33dZuxIhMbF,False,True,Way Less Sad,71,12,track,album,OK ORCHESTRA,2021,0.701,0.547,2,-8.238,1,0.0483,0.00843,0.0,0.0987,0.4,140.015,Alternative
11,1,196173,False,6ubPFMzlIg73d1jzzWcC8B,False,True,Skin and Bones,61,5,track,album,Social Cues,2019,0.539,0.788,9,-3.227,0,0.0396,0.0089,0.0,0.29,0.357,159.986,Alternative
12,1,151301,False,1FUQZYqWRVL8eaQd7uENlz,False,True,Serotonin,66,1,track,single,Serotonin,2022,0.81,0.497,1,-7.755,1,0.0647,0.0333,0.0,0.111,0.343,139.988,Alternative
13,1,175044,False,2nG54Y4a3sH9YpfxMolOyi,False,True,Shy Away,72,3,track,album,Scaled And Icy,2021,0.588,0.856,9,-5.242,0,0.0316,0.000818,0.0739,0.238,0.635,96.966,Alternative
14,1,238805,False,3USxtqRwSYz57Ewm6wWRMp,False,True,Heat Waves,84,14,track,album,Dreamland,2020,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,Alternative
15,1,144186,False,50PU05RTGva8laKDwxED9Y,False,True,Louisiana Saturday Night,70,1,track,album,I'm Countryfied,1980,0.686,0.622,2,-7.31,1,0.0857,0.532,0.0,0.0511,0.982,163.245,Alternative
16,1,174321,False,54bFM56PmE4YLRnqpW6Tha,False,True,Therefore I Am,75,1,track,single,Therefore I Am,2020,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,Alternative
17,1,232906,False,73ptateUzEZc4xXGWlQpaa,False,True,We Are Between,47,2,track,album,The Golden Casket,2021,0.614,0.91,11,-3.175,0,0.0444,0.00956,0.000301,0.343,0.407,128.973,Alternative
22,1,231825,False,4o0LyB69tylqDG6eTGhmig,False,True,Fire for You,73,2,track,album,Shadows,2019,0.737,0.678,6,-7.011,0,0.0962,0.114,0.157,0.123,0.698,102.051,Alternative
23,1,161384,True,27OeeYzk6klgBh83TSvGMA,False,True,WITHOUT YOU,80,7,track,album,F*CK LOVE (SAVAGE),2020,0.662,0.413,0,-7.357,1,0.0299,0.213,0.0,0.134,0.467,93.005,Alternative
24,1,259906,False,38Ngied9rBORlAbLYNCl4k,False,True,Once in a Lifetime - 2005 Remaster,69,4,track,album,Remain in Light (Deluxe Version),1980,0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,Alternative
25,1,118733,False,3emo5sUq2OwBctNgX0NMEV,False,True,estella//,57,2,track,album,SURVIVORS GUILT: THE MIXTAPE//,2021,0.454,0.837,8,-4.395,1,0.0734,0.000532,5.04e-05,0.375,0.557,164.966,Alternative
26,1,232933,False,74zUPQTB6HMnfS1cagJnd8,False,True,Nowhere Generation,55,1,track,single,Nowhere Generation,2021,0.373,0.944,11,-3.99,1,0.0998,0.00265,3.55e-05,0.422,0.376,165.881,Alternative
27,1,210000,False,4ja2gzrNh9VNigzoXfmbwD,False,True,Mariposa,75,1,track,single,Mariposa,2019,0.676,0.525,9,-5.88,1,0.028,0.617,0.0,0.356,0.421,112.011,Alternative
28,1,211294,False,2fxUj6BHsrGL3BUy5Yl9IO,False,True,Higher Power,0,12,track,compilation,Sunday Funday,2022,0.507,0.828,10,-6.023,1,0.0449,0.00711,2.44e-05,0.261,0.489,178.032,Alternative
29,1,244004,False,6TEftSkmWdTm1EpThnwqh6,False,True,Wrecked,74,4,track,album,Mercury - Acts 1 & 2,2022,0.625,0.562,0,-5.828,0,0.0289,0.149,1.67e-05,0.109,0.229,93.998,Alternative
30,1,217408,False,5YqdiryRmdAzYFlxo43hAJ,False,True,Missing Piece,71,1,track,single,Missing Piece,2021,0.628,0.877,0,-4.205,1,0.046,0.0155,5.97e-06,0.113,0.721,101.992,Alternative
31,1,250961,False,55meRTYBw8S5q7KF3DkjL7,False,True,The Bandit,55,1,track,single,"The Bandit / 100,000 People",2021,0.394,0.833,0,-5.18,1,0.042,0.00863,0.811,0.109,0.362,145.082,Alternative
32,1,195637,True,6V7g6qM8wheMivMWrzbPTM,False,True,Leave Me Alone,71,12,track,album,LOVE FOR GUALA,2019,0.792,0.743,7,-2.806,1,0.0851,0.107,0.0,0.183,0.742,150.024,Alternative
33,1,188386,False,7B3z0ySL9Rr0XvZEAjWZzM,False,True,Sofia,81,7,track,album,Immunity,2019,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,Alternative
34,1,103240,False,03eyNjBM2mpx28H6kdaufN,False,True,Overwhelmed (Ryan Mack Remix),78,1,track,single,Overwhelmed (Ryan Mack Remix),2021,0.658,0.445,0,-8.749,0,0.154,0.161,0.0,0.0845,0.513,174.111,Alternative
39,1,198546,True,0O2UONKvVfdwDyefKh5Yo1,False,True,Let The Bad Times Roll,64,2,track,album,Let The Bad Times Roll (Deluxe Edition),2021,0.495,0.976,6,-0.91,1,0.0792,0.00233,0.0,0.0668,0.603,159.01,Alternative
40,1,253840,False,4tA8lpQoWkMRWOZ29HbR86,False,True,Waiting On A War,57,4,track,album,Medicine At Midnight,2021,0.53,0.759,7,-7.067,1,0.0351,0.00984,0.0,0.319,0.502,131.999,Alternative
41,1,212513,True,1nPd60em5Qwp0NPykFz5Xj,False,True,Happy Endings (feat. iann dior and UPSAHL),56,1,track,single,Happy Endings (feat. iann dior and UPSAHL),2021,0.652,0.876,7,-3.323,1,0.0359,0.0307,0.0,0.449,0.695,126.007,Alternative
42,1,255106,False,2u8NmvhYX6wiviyxJTOhEi,False,True,Making A Fire,57,1,track,album,Medicine At Midnight,2021,0.506,0.946,9,-4.173,1,0.0652,2.21e-05,0.00226,0.0528,0.651,91.111,Alternative
43,1,211560,False,3Wrjm47oTz2sjIgck11l5e,False,True,Beggin',87,4,track,album,Chosen,2017,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,Alternative
44,1,228400,False,5eR6OS3joTAHJToyzehKfu,False,True,Trouble’s Coming,58,1,track,single,Trouble’s Coming,2020,0.775,0.688,1,-5.038,0,0.0384,0.0533,0.0,0.321,0.805,112.009,Alternative
45,1,177221,False,7bREivF1RTm0vOYB2wi7nE,False,True,Distorted Light Beam,55,1,track,single,Distorted Light Beam,2021,0.562,0.82,4,-4.253,0,0.0911,0.191,0.0,0.326,0.266,107.953,Alternative
46,1,199626,False,7fRCD4vVNpCy91Y3zxNMUl,False,True,Stop Making This Hurt,54,6,track,album,Take the Sadness Out of Saturday Night,2021,0.669,0.885,0,-4.735,1,0.0438,0.0393,0.0,0.264,0.825,109.24,Alternative
51,1,131538,True,0Ls2AaWYmU2LRzWAmFdlkc,False,True,Deep End (feat. Lil Skies),68,1,track,single,Deep End (feat. Lil Skies),2022,0.922,0.435,5,-7.963,1,0.189,0.14,0.0,0.0962,0.863,103.999,Alternative
52,1,193653,False,5lDriBxJd22IhOH9zTcFrV,False,True,Dirty Little Secret,72,1,track,album,Move Along,2005,0.465,0.954,10,-4.251,1,0.044,0.000346,5.38e-06,0.573,0.458,143.85,Alternative
53,1,177200,True,7FGIEAVXfegxngH9Jg6VwA,False,True,What A Shame,73,1,track,single,What A Shame,2020,0.699,0.463,0,-7.828,1,0.475,0.315,0.0,0.0803,0.565,143.99,Alternative
54,1,140533,True,4jPy3l0RUwlUI9T5XHBW2m,False,True,Mood (feat. iann dior),84,13,track,album,El Dorado,2021,0.701,0.716,7,-3.671,0,0.0361,0.174,0.0,0.324,0.732,91.007,Alternative
55,1,185155,True,6S6LyCOmUUQuIdre9DSVxd,False,True,all my friends are fake,60,1,track,single,all my friends are fake,2019,0.711,0.382,11,-7.344,0,0.0428,0.67,0.0,0.11,0.516,104.988,Alternative
56,1,256320,True,7GKMstqz3UYkFvlX93qCyz,False,True,Can You Handle My Love??,51,1,track,single,Can You Handle My Love??,2021,0.689,0.863,9,-5.962,1,0.0348,0.0373,1.55e-05,0.0958,0.576,105.044,Alternative
57,1,221253,False,67T6l4q3zVjC5nZZPXByU8,False,True,Whatcha Say,68,1,track,album,Jason Derulo,2010,0.615,0.711,11,-5.507,1,0.0779,0.0444,0.0,0.145,0.711,144.036,Alternative
58,1,185832,False,1nonPxrZoz42XGsKtLo3mg,False,True,1 Last Cigarette,58,9,track,album,The Band CAMINO,2021,0.578,0.952,0,-3.622,1,0.0567,0.00566,0.000249,0.189,0.686,140.097,Alternative
59,1,296493,False,6cFZ4PLC19taNlpl9pbGMf,False,True,Somebody To Love - Remastered 2011,69,6,track,album,A Day At The Races (Deluxe Remastered Version),1976,0.497,0.693,8,-7.024,1,0.0565,0.19,0.0,0.215,0.358,111.539,Alternative
60,1,195823,True,2HbuhhxdEVbqdaJlLxOCfW,False,True,All the Things I Hate About You,73,1,track,single,All the Things I Hate About You,2022,0.572,0.9,6,-2.66,0,0.137,0.00358,0.0,0.163,0.367,108.013,Alternative
61,1,239266,False,6RZmhpvukfyeSURhf4kZ0d,False,True,Is It True,70,9,track,album,The Slow Rush,2020,0.731,0.664,0,-5.474,1,0.0302,0.00307,0.35,0.133,0.661,118.018,Alternative
62,1,214592,True,3L19besdNQzd342qL78xqm,False,True,Demons and Angels (feat. Juice WRLD),70,6,track,album,Hoodie SZN,2018,0.81,0.55,2,-7.46,0,0.17,0.0114,5.69e-06,0.107,0.183,76.503,Alternative
63,1,160212,True,0ada5XsQGLPUVbmTCkAP49,False,True,Hate The Other Side (with Marshmello & The Kid Laroi),76,9,track,album,Legends Never Die,2020,0.701,0.65,6,-6.313,1,0.104,0.291,0.0,0.112,0.647,90.003,Alternative
72,1,245425,False,3ZCTVFBt2Brf31RLEnCkWJ,False,True,everything i wanted,86,1,track,single,everything i wanted,2019,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,Alternative
73,1,249586,False,5JWPUEov2wlX7c0jhYZpeB,False,True,Lost In Yesterday,68,8,track,album,The Slow Rush,2020,0.569,0.84,1,-4.123,1,0.118,0.0295,0.000118,0.0995,0.749,183.059,Alternative
74,1,187173,True,6bLU8e0LGyztE9iD5DWBQ1,False,True,Hallucinogenics,70,6,track,album,Bank On The Funeral,2019,0.549,0.653,0,-7.47,1,0.0503,0.457,0.0,0.0969,0.287,121.348,Alternative
75,1,173333,False,7eJMfftS33KTjuF7lTsMCx,False,True,death bed (coffee for your head),83,1,track,single,death bed (coffee for your head),2020,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,Alternative
