,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
4,1,161853,False,58UKC45GPNTflCN6nwCUeF,False,True,Fancy Like,78,6,track,album,Country Stuff The Album,2022,0.647,0.765,1,-6.459,1,0.06,0.111,0.0,0.315,0.855,79.994,Country
18,1,165569,False,4iXDn9pu5Q9sxv45vE8Lak,False,True,Famous Friends,69,1,track,single,Famous Friends,2020,0.533,0.855,6,-2.901,1,0.0356,0.0553,0.0,0.335,0.64,102.017,Country
23,1,207973,False,1ZIKpMTRPqhwAoVXWY3tXI,False,True,Chasing After You (with Maren Morris),70,1,track,single,Chasing After You (with Maren Morris),2021,0.596,0.679,4,-6.395,1,0.0394,0.723,0.0,0.116,0.479,131.912,Country
28,1,195962,True,0NmuYnjETG3u3qx0OmEJev,False,True,Lil Bit,72,1,track,single,Lil Bit,2020,0.707,0.689,4,-7.097,0,0.0387,0.0255,0.0,0.383,0.41,119.987,Country
29,1,144533,False,472vIK1ldetTxRxG3ovaiY,False,True,Glad You Exist,70,1,track,single,Glad You Exist,2021,0.748,0.551,11,-6.12,1,0.0349,0.235,0.0,0.119,0.66,103.953,Country
34,1,245625,False,0QULNNd9z5s35entfiiXoa,False,True,Drunk (And I Don't Wanna Go Home),76,1,track,single,Drunk (And I Don't Wanna Go Home),2021,0.612,0.884,5,-4.4,1,0.0459,0.00516,0.0,0.0997,0.626,119.991,Country
39,1,197453,False,53bZYxVbCYm6w1Gx8U64bz,False,True,Settling Down,64,4,track,album,Wildcard,2019,0.643,0.756,6,-5.8,0,0.0305,0.0215,0.000268,0.101,0.934,90.001,Country
40,1,202133,False,0uRrG2jRR5tuifsYIJHEao,False,True,Sand In My Boots,79,1,track,album,Dangerous: The Double Album,2021,0.403,0.537,3,-6.628,1,0.031,0.59,0.0,0.112,0.414,69.877,Country
41,1,175026,False,4mXGooManGPH6xAWRAtRJU,False,True,Hell Of A View,68,5,track,album,Soul,2021,0.689,0.592,5,-6.758,1,0.0235,0.101,0.00867,0.11,0.919,98.997,Country
42,1,203373,False,5QS8PNEWbqTEZyQ6e9ZbJf,False,True,Things A Man Oughta Know,71,3,track,album,Sayin' What I'm Thinkin',2021,0.659,0.683,3,-5.623,1,0.0312,0.513,4.93e-06,0.133,0.397,139.931,Country
47,1,375386,True,1hz7SRTGUNAtIQ46qiNv2p,False,True,"GONE, GONE / THANK YOU",79,10,track,album,IGOR,2019,0.518,0.492,10,-8.436,0,0.193,0.216,0.0012,0.146,0.471,78.848,Country
52,1,178520,False,3cBsEDNhFI9E82vPj3kvi3,False,True,Wasted On You,83,2,track,album,Dangerous: The Double Album,2021,0.505,0.657,11,-5.24,0,0.0318,0.373,0.00107,0.126,0.252,196.0,Country
53,1,212030,False,1WQ40xJSvgDmD9K7ckJwux,False,True,If I Didn't Love You,73,5,track,album,MACON,2021,0.456,0.679,1,-4.802,1,0.0324,0.176,0.0,0.103,0.483,184.075,Country
54,1,187683,False,1irAliF0T8sLIOPJp6n7rU,False,True,Single Saturday Night,67,1,track,single,Single Saturday Night,2020,0.623,0.79,7,-5.07,1,0.0473,0.118,0.0,0.226,0.694,81.949,Country
55,1,215933,False,4sf2L157iEgAR7yrCNLgSq,False,True,Breaking Up Was Easy In The 90's,67,11,track,album,SOUTHSIDE,2020,0.562,0.649,9,-5.4,1,0.0494,0.231,0.0,0.341,0.376,145.913,Country
56,1,180616,False,1zYZs8Vbjhbzx5M3olcRnm,False,True,Memory I Don't Mess With,69,4,track,album,Hey World,2020,0.617,0.704,6,-7.61,0,0.0258,0.171,0.0,0.0924,0.57,91.541,Country
57,1,238805,False,3USxtqRwSYz57Ewm6wWRMp,False,True,Heat Waves,84,14,track,album,Dreamland,2020,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,Country
58,1,205766,True,1tm7c4V0kqLiN0XPVnoUcT,False,True,Runnin' Thru the 7th with My Woadies,76,3,track,single,$outh $ide $uicide,2015,0.686,0.621,11,-7.243,1,0.187,0.0656,0.000221,0.139,0.187,112.082,Country
59,1,271240,False,07q0QVgO56EorrSGHC48y3,False,True,I Was Made For Lovin' You,83,1,track,album,Dynasty,1979,0.768,0.852,4,-6.215,1,0.038,0.214,7.36e-05,0.0723,0.867,128.373,Country
