,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
0,1,203064,False,5nujrmhLynf4yMoMtj8AQF,False,True,Levitating (feat. DaBaby),85,12,track,album,Future Nostalgia,2020,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,Hot 100
1,1,215626,True,5QO79kh1waicV47BqGRL3g,False,True,Save Your Tears,89,11,track,album,After Hours,2020,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,Hot 100
10,1,178146,True,4ZtFanR9U6ndgddUvNcjcG,False,True,good 4 u,88,6,track,album,SOUR,2021,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,Hot 100
11,1,208666,True,3DarAbFujv6eYNliUTyqtz,False,True,Kiss Me More (feat. SZA),81,14,track,album,Planet Her,2021,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,Hot 100
12,1,242096,False,02VBYrHfVwfEWXk5DXyf0T,False,True,Leave The Door Open,85,2,track,album,An Evening With Silk Sonic,2021,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,Hot 100
13,1,242013,True,5wANPM4fQCJwkGd4rN57mH,False,True,drivers license,88,3,track,album,SOUR,2021,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,Hot 100
14,1,137704,True,1SC5rEoYDGUK4NfG82494W,False,True,MONTERO (Call Me By Your Name),83,1,track,album,MONTERO,2021,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,Hot 100
15,1,198081,True,4iJyoBOLtHqaGxP12qzhQI,False,True,Peaches (feat. Daniel Caesar & Giveon),86,12,track,album,Justice,2021,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,Hot 100
16,1,190557,False,2cYqizR4lgvp4Qu6IQ3qGN,False,True,BUTTERFLY EFFECT,79,15,track,album,ASTROWORLD,2018,0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958,Hot 100
26,1,215506,True,6HU7h9RYOaPRFeh0R3UeAr,False,True,deja vu,88,5,track,album,SOUR,2021,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,Hot 100
27,1,172324,True,35mvY5S1H3J2QZyna3TFe0,False,True,positions,85,12,track,album,Positions,2020,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,Hot 100
28,1,230746,False,3rmo8F54jFF8OgYsqTxm5d,False,True,Bad Habits,89,4,track,album,=,2021,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,Hot 100
37,1,232533,False,6IBcOGPsniK3Pso1wHIhew,False,True,Forever After All,80,23,track,album,What You See Ain't Always What You Get (Deluxe Edition),2020,0.487,0.65,0,-5.195,1,0.0253,0.191,0.0,0.0933,0.456,151.964,Hot 100
42,1,132780,True,3Ofmpyhv5UAQ70mENzB277,False,True,Astronaut In The Ocean,79,1,track,single,Astronaut In The Ocean,2021,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,Hot 100
43,1,173710,True,6Im9k8u9iIzKMrmV7BWtlF,False,True,34+35,81,2,track,album,Positions,2020,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,Hot 100
44,1,160000,True,1tkg4EHVoqnhR6iFEXb60y,False,True,What You Know Bout Love,82,15,track,album,Shoot For The Stars Aim For The Moon,2020,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,Hot 100
49,1,212000,True,27NovPIUIRrOZoCHxABJwK,False,True,INDUSTRY BABY (feat. Jack Harlow),86,1,track,single,INDUSTRY BABY (feat. Jack Harlow),2021,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,Hot 100
50,1,174321,False,54bFM56PmE4YLRnqpW6Tha,False,True,Therefore I Am,75,1,track,single,Therefore I Am,2020,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,Hot 100
51,1,300840,False,29d0nY7TzCoi22XBqDQkiP,False,True,Running Up That Hill (A Deal With God) - 2018 Remaster,87,1,track,album,Hounds of Love (2018 Remaster),1985,0.625,0.533,10,-11.903,0,0.0596,0.659,0.00266,0.0546,0.139,108.296,Hot 100
56,1,205090,True,47EiUVwUp4C9fGccaPuUCS,False,True,DÁKITI,83,1,track,single,DÁKITI,2020,0.731,0.573,4,-10.059,0,0.0544,0.401,5.22e-05,0.113,0.145,109.928,Hot 100
57,1,165925,True,18vXApRmJSgQ6wG2ll9AOg,False,True,RAPSTAR,82,2,track,album,Hall of Fame,2021,0.789,0.536,6,-6.862,1,0.242,0.41,0.0,0.129,0.437,81.039,Hot 100
58,1,198370,False,3FAJ6O0NOHQV8Mc5Ri6ENp,False,True,Heartbreak Anniversary,84,6,track,album,TAKE TIME,2020,0.449,0.465,0,-8.964,1,0.0791,0.524,1.02e-06,0.303,0.543,89.087,Hot 100
63,1,205458,True,3J8EOeKLTLXORtWPpOU5bE,False,True,Calling My Phone,82,3,track,album,Destined 2 Win,2021,0.907,0.393,4,-7.636,0,0.0539,0.451,1.35e-06,0.135,0.202,104.949,Hot 100
64,1,227395,False,5zFglKYiknIxks8geR8rcL,False,True,Beautiful Mistakes (feat. Megan Thee Stallion),83,1,track,album,JORDI (Deluxe),2021,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,Hot 100
65,1,212093,False,5u1n1kITHCxxp8twBcZxWy,False,True,Holy (feat. Chance The Rapper),75,1,track,single,Holy,2020,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,Hot 100
70,1,169265,True,45bE4HXI0AwGZXfZtMp8JR,False,True,you broke me first,84,1,track,single,you broke me first,2020,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,Hot 100
71,1,229226,False,5CZ40GBx1sQ9agT82CLQCT,False,True,traitor,89,2,track,album,SOUR,2021,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,Hot 100
72,1,184489,True,7JuHVG3qQKQKxC4doneXVW,False,True,Back In Blood (feat. Lil Durk),72,1,track,single,Back In Blood (feat. Lil Durk),2020,0.759,0.538,8,-8.256,0,0.384,0.151,0.0,0.126,0.831,146.933,Hot 100
81,1,180930,True,0nqhKXDjsyBMvbeWmgijD0,False,True,Wockesha,69,4,track,album,A Gangsta’s Pain,2021,0.582,0.537,0,-9.229,1,0.619,0.129,0.0,0.0749,0.771,82.103,Hot 100
82,1,186173,True,0k4d5YPDr1r7FX77VdqWez,False,True,You Right,84,8,track,album,Planet Her,2021,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,Hot 100
83,1,212026,True,2LbNkvmYabhVf9jBCVeLm7,False,True,Beat Box 4 (with NLE Choppa),68,1,track,single,Beat Box 4 (with NLE Choppa),2021,0.816,0.46,8,-8.177,1,0.382,0.0667,0.0,0.128,0.392,159.985,Hot 100
88,1,210560,True,3Vi5XqYrmQgOYBajMWSvCi,False,True,Need to Know,85,5,track,album,Planet Her,2021,0.664,0.609,1,-6.509,1,0.0707,0.304,0.0,0.0926,0.194,130.041,Hot 100
93,1,257604,True,0k1WUmIRnG3xU6fvvDVfRG,False,True,Way 2 Sexy (with Future & Young Thug),81,7,track,album,Certified Lover Boy,2021,0.803,0.597,11,-6.035,0,0.141,0.000619,4.5e-06,0.323,0.331,136.008,Hot 100
94,1,160191,False,6tDDoYIxWvMLTdKpjFkc1B,False,True,telepatía,83,7,track,album,Sin Miedo (del Amor y Otros Demonios) ∞,2020,0.653,0.524,11,-9.016,0,0.0502,0.112,0.0,0.203,0.553,83.97,Hot 100
95,1,123262,True,5vGLcdRuSbUhD8ScwsGSdA,False,True,Whoopty,75,1,track,single,Whoopty,2020,0.719,0.648,3,-7.6,0,0.125,0.2,0.0,0.127,0.66,140.201,Hot 100
100,1,279204,True,3YJJjQPAbDT7mGpX3WtQ9A,False,True,Good Days,83,1,track,single,Good Days,2020,0.436,0.655,1,-8.37,0,0.0583,0.499,8.1e-06,0.688,0.412,121.002,Hot 100
