,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
0,1,203064,False,5nujrmhLynf4yMoMtj8AQF,False,True,Levitating (feat. DaBaby),85,12,track,album,Future Nostalgia,2020,0.702,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,Pop
1,1,172324,True,35mvY5S1H3J2QZyna3TFe0,False,True,positions,85,12,track,album,Positions,2020,0.737,0.802,0,-4.771,1,0.0878,0.468,0.0,0.0931,0.682,144.015,Pop
2,1,215626,True,5QO79kh1waicV47BqGRL3g,False,True,Save Your Tears,89,11,track,album,After Hours,2020,0.68,0.826,0,-5.487,1,0.0309,0.0212,1.24e-05,0.543,0.644,118.051,Pop
3,1,208666,True,3DarAbFujv6eYNliUTyqtz,False,True,Kiss Me More (feat. SZA),81,14,track,album,Planet Her,2021,0.764,0.705,8,-3.463,1,0.0284,0.259,8.92e-05,0.12,0.781,110.97,Pop
8,1,178146,True,4ZtFanR9U6ndgddUvNcjcG,False,True,good 4 u,88,6,track,album,SOUR,2021,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,Pop
9,1,173710,True,6Im9k8u9iIzKMrmV7BWtlF,False,True,34+35,81,2,track,album,Positions,2020,0.83,0.585,0,-6.476,1,0.094,0.237,0.0,0.248,0.485,109.978,Pop
10,1,137704,True,1SC5rEoYDGUK4NfG82494W,False,True,MONTERO (Call Me By Your Name),83,1,track,album,MONTERO,2021,0.593,0.503,8,-6.725,0,0.22,0.293,0.0,0.405,0.71,178.781,Pop
11,1,215506,True,6HU7h9RYOaPRFeh0R3UeAr,False,True,deja vu,88,5,track,album,SOUR,2021,0.442,0.612,2,-7.222,1,0.112,0.584,5.7e-06,0.37,0.178,180.917,Pop
12,1,174321,False,54bFM56PmE4YLRnqpW6Tha,False,True,Therefore I Am,75,1,track,single,Therefore I Am,2020,0.889,0.34,11,-7.773,0,0.0697,0.218,0.13,0.055,0.716,94.009,Pop
13,1,230746,False,3rmo8F54jFF8OgYsqTxm5d,False,True,Bad Habits,89,4,track,album,=,2021,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79e-05,0.366,0.537,126.011,Pop
23,1,242013,True,5wANPM4fQCJwkGd4rN57mH,False,True,drivers license,88,3,track,album,SOUR,2021,0.561,0.431,10,-8.81,1,0.0578,0.768,1.42e-05,0.106,0.137,143.875,Pop
24,1,198081,True,4iJyoBOLtHqaGxP12qzhQI,False,True,Peaches (feat. Daniel Caesar & Giveon),86,12,track,album,Justice,2021,0.677,0.696,0,-6.181,1,0.119,0.321,0.0,0.42,0.464,90.03,Pop
25,1,176960,True,1IIKrJVP1C9N7iPtG6eOsK,False,True,Go Crazy,79,2,track,album,Slime & B,2020,0.755,0.578,0,-8.932,0,0.145,0.316,0.0,0.25,0.581,94.148,Pop
30,1,169265,True,45bE4HXI0AwGZXfZtMp8JR,False,True,you broke me first,84,1,track,single,you broke me first,2020,0.667,0.373,4,-9.389,1,0.05,0.785,0.0,0.0906,0.0823,124.148,Pop
35,1,212093,False,5u1n1kITHCxxp8twBcZxWy,False,True,Holy (feat. Chance The Rapper),75,1,track,single,Holy,2020,0.673,0.704,6,-8.056,1,0.36,0.196,0.0,0.0898,0.372,86.919,Pop
36,1,210463,False,6AGOKlMZWLCaEJGnaROtF9,False,True,Put Your Records On,77,1,track,single,Put Your Records On,2020,0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,Pop
37,1,201882,False,3UoULw70kMsiVXxW0L3A33,False,True,pov,77,14,track,album,Positions,2020,0.487,0.534,0,-5.664,0,0.0555,0.36,0.0,0.1,0.173,131.798,Pop
38,1,181990,False,3SeeaIXnrCfT88vHVCRWHl,False,True,Last Night Lonely,75,1,track,single,Last Night Lonely,2022,0.646,0.816,6,-2.65,1,0.0269,0.00496,0.0,0.179,0.865,102.972,Pop
39,1,242096,False,02VBYrHfVwfEWXk5DXyf0T,False,True,Leave The Door Open,85,2,track,album,An Evening With Silk Sonic,2021,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,Pop
40,1,186173,True,0k4d5YPDr1r7FX77VdqWez,False,True,You Right,84,8,track,album,Planet Her,2021,0.828,0.621,8,-6.414,1,0.0565,0.0164,0.00233,0.0845,0.436,128.986,Pop
45,1,160000,True,1tkg4EHVoqnhR6iFEXb60y,False,True,What You Know Bout Love,82,15,track,album,Shoot For The Stars Aim For The Moon,2020,0.709,0.548,10,-8.493,1,0.353,0.65,1.59e-06,0.133,0.543,83.995,Pop
46,1,212000,True,27NovPIUIRrOZoCHxABJwK,False,True,INDUSTRY BABY (feat. Jack Harlow),86,1,track,single,INDUSTRY BABY (feat. Jack Harlow),2021,0.736,0.704,3,-7.409,0,0.0615,0.0203,0.0,0.0501,0.894,149.995,Pop
47,1,227395,False,5zFglKYiknIxks8geR8rcL,False,True,Beautiful Mistakes (feat. Megan Thee Stallion),83,1,track,album,JORDI (Deluxe),2021,0.713,0.676,10,-5.483,1,0.027,0.0377,0.0,0.154,0.721,99.048,Pop
57,1,132780,True,3Ofmpyhv5UAQ70mENzB277,False,True,Astronaut In The Ocean,79,1,track,single,Astronaut In The Ocean,2021,0.778,0.695,4,-6.865,0,0.0913,0.175,0.0,0.15,0.472,149.996,Pop
58,1,154983,False,4qu63nuBpdn0qHUHuObEj1,False,True,Leave Before You Love Me (with Jonas Brothers),86,1,track,single,Leave Before You Love Me,2021,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,Pop
59,1,183624,False,1Xi84slp6FryDSCbzq4UCD,False,True,Arcade,80,1,track,single,Arcade,2019,0.45,0.329,9,-12.603,0,0.0441,0.818,0.00109,0.135,0.266,71.884,Pop
60,1,163485,False,2xMvDsq9CzHSAbytPmZawf,False,True,Can We Pretend That We’re Good?,60,1,track,single,Can We Pretend That We’re Good?,2022,0.539,0.521,0,-6.124,1,0.0747,0.0315,0.0,0.198,0.47,173.826,Pop
61,1,211560,False,3Wrjm47oTz2sjIgck11l5e,False,True,Beggin',87,4,track,album,Chosen,2017,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,Pop
62,1,190557,False,2cYqizR4lgvp4Qu6IQ3qGN,False,True,BUTTERFLY EFFECT,79,15,track,album,ASTROWORLD,2018,0.763,0.628,11,-5.85,1,0.05,0.0531,0.0,0.114,0.193,140.958,Pop
67,1,339023,False,2vgUijXOTRMnWXDtvgMp2b,False,True,Take My Breath,74,4,track,album,Dawn FM,2022,0.698,0.769,8,-7.154,1,0.0368,0.0128,0.00166,0.238,0.354,121.02,Pop
72,1,258004,False,3QZCDrpOOPikj26Ft6jRQf,False,True,Love Again,0,17,track,compilation,Sunday Funday,2022,0.659,0.667,11,-4.668,0,0.0339,0.00173,2.85e-05,0.1,0.468,115.982,Pop
73,1,157477,False,5uU1uuyaUIBOiiUSQG7Wl3,False,True,You Proof,86,1,track,single,You Proof,2022,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,Pop
74,1,229226,False,5CZ40GBx1sQ9agT82CLQCT,False,True,traitor,89,2,track,album,SOUR,2021,0.38,0.339,3,-7.885,1,0.0338,0.691,0.0,0.12,0.0849,100.607,Pop
