,disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,Genre
280,1,196652,True,0nbXyq5TXYPCO7pr3N8S4I,False,True,The Box,82,2,track,album,Please Excuse Me for Being Antisocial,2019,0.896,0.586,10,-6.687,0,0.0559,0.104,0.0,0.79,0.642,116.971,Rap
281,1,237735,True,5yY9lUy8nbvjM1Uyo1Uqoc,False,True,Life Is Good (feat. Drake),78,1,track,single,Life Is Good (feat. Drake),2020,0.676,0.609,2,-5.831,0,0.481,0.0706,0.0,0.152,0.508,142.037,Rap
282,1,163636,True,696DnlkuDOXcMAnKlTgXXK,False,True,ROXANNE,78,1,track,single,ROXANNE,2019,0.621,0.601,6,-5.616,0,0.148,0.0522,0.0,0.46,0.457,116.735,Rap
283,1,139741,True,1jaTQ3nqY3oAAYyCTbIvnM,False,True,WHATS POPPIN,78,1,track,album,Sweet Action,2020,0.923,0.604,11,-6.671,0,0.245,0.017,0.0,0.272,0.826,145.062,Rap
284,1,218364,True,3F5CgOj3wFlRv51JsHbxhe,False,True,Jimmy Cooks (feat. 21 Savage),91,14,track,album,"Honestly, Nevermind",2022,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,Rap
285,1,247058,True,127QTOFJsJQp5LbJbu3A1y,False,True,Toosie Slide,74,1,track,single,Toosie Slide,2020,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,Rap
286,1,159714,True,6Ozh9Ok6h4Oi1wUSLtBseN,False,True,BOP,76,3,track,album,KIRK,2019,0.769,0.787,11,-3.909,1,0.367,0.189,0.0,0.129,0.836,126.77,Rap
287,1,162546,True,6wJYhPfqk3KGhHRG76WzOh,False,True,Blueberry Faygo,74,1,track,single,Blueberry Faygo,2020,0.774,0.554,0,-7.909,1,0.0383,0.207,0.0,0.132,0.349,99.034,Rap
288,1,188343,True,6jRq8gaZhMUyy5RclRPcAf,False,True,hot girl bummer,81,1,track,album,everything means nothing,2020,0.782,0.559,6,-7.106,0,0.0767,0.125,0.0,0.385,0.685,129.992,Rap
289,1,240133,False,1ZMiCix7XSAbfAJlEZWMCp,False,True,Falling,85,6,track,album,Fine Line,2019,0.567,0.267,4,-6.502,1,0.0299,0.839,1.46e-06,0.089,0.0592,110.011,Rap
290,1,183011,True,598yNsG1JFrGd4n2kMoz7F,False,True,Woah,69,1,track,single,Woah,2019,0.882,0.602,11,-5.554,1,0.245,0.0177,0.0,0.178,0.43,142.959,Rap
291,1,173333,False,7eJMfftS33KTjuF7lTsMCx,False,True,death bed (coffee for your head),83,1,track,single,death bed (coffee for your head),2020,0.726,0.431,8,-8.765,0,0.135,0.731,0.0,0.696,0.348,144.026,Rap
292,1,180434,True,3QzAOrNlsabgbMwlZt7TAY,False,True,Ballin' (with Roddy Ricch),80,9,track,album,Perfect Ten,2019,0.809,0.545,7,-6.678,1,0.0735,0.392,0.0,0.151,0.244,97.008,Rap
297,1,220486,True,07KXEDMj78x68D884wgVEm,False,True,High Fashion (feat. Mustard),74,11,track,album,Please Excuse Me for Being Antisocial,2019,0.831,0.499,11,-8.442,0,0.114,0.269,0.0,0.3,0.511,97.956,Rap
298,1,205760,True,5f4Hy5mw5SRaUgXX9c6P5S,False,True,Sum 2 Prove,72,13,track,album,My Turn,2020,0.827,0.552,4,-7.571,0,0.274,0.0169,0.0,0.122,0.408,124.011,Rap
299,1,159669,True,591ks2A0o7ratTpiRdI7M6,False,True,Heart On Ice,72,4,track,album,PTSD,2019,0.732,0.387,10,-8.47,0,0.0741,0.0493,0.0,0.141,0.242,157.875,Rap
300,1,181929,True,6gxKUmycQX7uyMwJcweFjp,False,True,We Paid (feat. 42 Dugg),75,26,track,album,My Turn (Deluxe),2020,0.926,0.542,1,-5.064,1,0.293,0.135,0.0,0.0877,0.564,135.14,Rap
301,1,189322,True,6Gg1gjgKi2AK4e0qzsR7sd,False,True,Bandit (with YoungBoy Never Broke Again),76,1,track,single,Bandit (with YoungBoy Never Broke Again),2019,0.474,0.631,5,-5.884,0,0.343,0.0687,0.0,0.132,0.425,180.051,Rap
302,1,200221,True,6EDO9iiTtwNv6waLwa1UUq,False,True,POPSTAR (feat. Drake),75,1,track,single,POPSTAR (feat. Drake),2020,0.8,0.56,5,-4.818,0,0.261,0.057,0.0,0.134,0.45,163.071,Rap
307,1,147800,False,5RqR4ZCCKJDcBLIn4sih9l,False,True,Party Girl,72,1,track,single,Party Girl,2020,0.728,0.431,6,-9.966,0,0.0622,0.749,0.0,0.0996,0.629,130.022,Rap
308,1,201600,True,1H7KnK26kc1YyellpbINEn,False,True,The Woo (feat. 50 Cent & Roddy Ricch),77,10,track,album,Shoot For The Stars Aim For The Moon,2020,0.49,0.618,1,-5.655,1,0.104,0.0221,3.77e-06,0.259,0.286,99.7,Rap
309,1,222997,True,1iSqfoUFnQwV0QW1EfUit8,False,True,Suicidal,75,2,track,album,Melly vs. Melvin,2019,0.735,0.369,9,-9.682,0,0.0688,0.334,0.0,0.126,0.235,140.004,Rap
310,1,252728,True,44gRhRi2OhEf7moAUj6MD1,False,True,The Bigger Picture,70,1,track,single,The Bigger Picture,2020,0.59,0.618,1,-5.756,1,0.334,0.0127,0.0,0.244,0.153,96.459,Rap
311,1,210800,True,7FIWs0pqAYbP91WWM0vlTQ,False,True,Godzilla (feat. Juice WRLD),84,7,track,album,Music To Be Murdered By,2020,0.808,0.745,10,-5.26,0,0.342,0.145,0.0,0.292,0.829,165.995,Rap
312,1,213333,True,5rZlwNFl01HqLWBQGryKSm,False,True,Mood Swings (feat. Lil Tjay),80,13,track,album,Shoot For The Stars Aim For The Moon,2020,0.48,0.602,10,-6.335,0,0.368,0.487,0.0,0.0848,0.269,179.798,Rap
313,1,216386,True,79s5XnCN4TJKTVMSmOx8Ep,False,True,Dior,83,6,track,album,Meet The Woo,2019,0.548,0.805,7,-5.732,1,0.351,0.212,0.000389,0.408,0.648,142.094,Rap
314,1,194621,True,2U5WueTLIK5WJLD7mvDODv,False,True,Wishing Well,81,15,track,album,Legends Never Die,2020,0.65,0.613,9,-6.13,0,0.128,0.00336,0.0,0.267,0.0804,149.972,Rap
315,1,165977,True,39Yp9wwQiSRIDOvrVg7mbk,False,True,THE SCOTTS,77,1,track,single,THE SCOTTS,2020,0.716,0.537,0,-7.648,0,0.0514,0.233,0.0,0.157,0.28,129.979,Rap
316,1,197529,True,7ge7BHazYbVKi8qyZUX1Bm,False,True,Emotionally Scarred,74,8,track,album,My Turn,2020,0.585,0.641,6,-4.269,0,0.133,0.0286,0.0,0.316,0.266,88.284,Rap
317,1,235987,True,40TPiJpvwGIyvPjJMDTKfy,False,True,Rags2Riches 2 (feat. Lil Baby),72,19,track,album,Pray 4 Love (Deluxe),2020,0.874,0.443,5,-9.628,0,0.241,0.147,0.0,0.124,0.298,118.004,Rap
322,1,173288,True,1Z0cZI0UzNbP9L8MzzGxqf,False,True,Walk Em Down (feat. Roddy Ricch),73,6,track,album,Top Shotta,2020,0.867,0.744,2,-5.171,1,0.227,0.268,0.0,0.0713,0.645,84.005,Rap
323,1,139413,True,4Hpib09wXgD84w4uwTPnYD,False,True,Tap In,68,1,track,single,Tap In,2020,0.954,0.696,10,-7.117,0,0.204,0.00576,0.000498,0.0754,0.432,100.036,Rap
328,1,144935,True,0fySG6A6qLE8IvDpayb5bM,False,True,VIBEZ,71,4,track,album,KIRK,2019,0.768,0.652,1,-2.708,0,0.307,0.113,0.0,0.107,0.777,154.187,Rap
329,1,154323,True,6WbTTAGKrQtCQvmc5BuYfh,False,True,Girls in the Hood,67,1,track,single,Girls in the Hood,2020,0.821,0.863,6,-3.159,1,0.353,0.00824,0.0,0.0377,0.874,180.013,Rap
330,1,198912,True,2Ec33AVlkTTq8BHFgBTdQs,False,True,Futsal Shuffle 2020,65,1,track,single,Futsal Shuffle 2020,2019,0.881,0.457,7,-8.191,0,0.156,0.0327,0.0,0.231,0.296,136.97,Rap
331,1,157712,True,6gi6y1xwmVszDWkUqab1qw,False,True,OUT WEST (feat. Young Thug),77,5,track,album,JACKBOYS,2019,0.802,0.591,8,-4.895,1,0.225,0.0104,0.0,0.196,0.309,139.864,Rap
332,1,132303,True,1XdbvPWz4lhyRBMz9cBy8b,False,True,GOOBA,71,3,track,album,TattleTales,2020,0.611,0.688,1,-5.688,1,0.341,0.0264,0.0,0.251,0.393,178.462,Rap
333,2,160720,True,0xKBkLcF71uUQeTA7FSu4A,False,True,BEST ON EARTH (feat. BIA) - Bonus,69,2,track,album,SHAKE THE SNOW GLOBE,2020,0.846,0.748,5,-3.512,0,0.078,0.188,0.0,0.093,0.597,90.006,Rap
334,1,157066,False,2YpeDb67231RjR0MgVLzsG,False,True,Old Town Road - Remix,79,1,track,single,7 EP,2019,0.878,0.619,6,-5.56,1,0.102,0.0533,0.0,0.113,0.639,136.041,Rap
335,1,158040,False,3KkXRkHbMCARz0aVfEt68P,False,True,Sunflower - Spider-Man: Into the Spider-Verse,83,2,track,compilation,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018,0.76,0.479,2,-5.574,1,0.0466,0.556,0.0,0.0703,0.913,89.911,Rap
336,1,149546,True,7xQAfvXzm3AkraOtGPWIZg,False,True,Wow.,82,17,track,album,Hollywood's Bleeding,2019,0.829,0.539,11,-7.359,0,0.208,0.136,1.78e-06,0.103,0.388,99.96,Rap
337,1,173325,True,3HWzoMvoF3TQfYg4UPszDq,False,True,Truth Hurts,77,13,track,album,Cuz I Love You (Super Deluxe),2019,0.715,0.624,4,-3.046,0,0.114,0.11,0.0,0.123,0.412,158.087,Rap
342,1,213593,True,2JvzF1RMd7lE3KmFlsyZD8,False,True,MIDDLE CHILD,81,1,track,single,MIDDLE CHILD,2019,0.837,0.364,8,-11.713,1,0.276,0.149,0.0,0.271,0.463,123.984,Rap
343,1,180522,True,2IRZnDFmlqMuOrYOLnZZyc,False,True,Going Bad (feat. Drake),80,9,track,album,Championships,2018,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,Rap
344,1,2399056,True,4QeHxxiBqEgvB0CE7AwwUa,False,True,"Rolling 110 Deep (feat. Sheek Louch, Styles P, Dave East, Crooked I, Black Thought, Raekwon, Ghostface Killah, Inspectah Deck, Papoose, Loaded Lux, AZ, Bun B, Fred the Godson, Jim Jones, Ransom, Rah Digga, Billy Danze, Lil Fame, Trae tha Truth, Joell Ortiz, Lord Tariq, Cory Gunz, Peter Gunz, Shaq Diesel, Roy Jones Jr., DJ Red Alert, Redman, Young Buck, MC Serch, Big Daddy Kane, MC Shan, ‎KRS-One, Jon Connor, Twista, Drag-On, Chris Rivers, Nino Man, Locksmith, 3D Natee, Trick Trick, Tragedy Khadafi, E-A-Ski, Cassidy, Bumpy Knuckles, Gillie Da Kid, Ice-T, Treach, Kool G Rap, Lil' Cease, RJ Payne, JR Writer, Shoota93, Ms Hustle, Vado, Mysonne, Mistah F.A.B., Saigon, Melle Mel, Grandmaster Caz, Havoc, Tracey Lee, Edi Mean, Young Noble, Mcgruff, Stan Spit, SickFlo, Fredro Starr, Sticky Fingaz, Rass Kass, Termanology, Dj. Doo Wop, Junior Reid, Oun-P, Merkules, Wais P, Maino, Uncle Murda, PT Capone, Mike Cee, Royal Flush, Super Lover Cee, Page Kennedy, Rockness Monsta, Gunplay, Sadat X, Grand Puba, Lord Jamar, Sonja Blade, Coke La Rock, Greg Nice, Smooth B, Consequence, Millyz, Ot the Real, Ron Artest, Kaflow Kaboom, Tone Trump, Hocus 45th, Omar Epps, Bodega Bamz, Bynoe, Prince The King, Aobie, King Kirk, Big Dubez, Tony Moxberg, Styleon, Chuck D & Sauce Money)",43,6,track,album,Accolades,2021,0.576,0.978,0,-2.716,1,0.356,0.268,0.0,0.688,0.594,92.827,Rap
345,1,163320,True,2gwkD6igEhQbDQegRCcdoB,False,True,Suge,73,2,track,album,Baby On Baby,2019,0.876,0.662,2,-6.482,0,0.426,0.0608,0.0,0.127,0.844,75.445,Rap
346,1,174853,True,0t3ZvGKlmYmVsDzBJAXK8C,False,True,Goodbyes (feat. Young Thug),81,14,track,album,Hollywood's Bleeding,2019,0.548,0.653,5,-3.875,1,0.081,0.456,0.0,0.103,0.163,150.068,Rap
347,1,228759,True,0FZ4Dmg8jJJAPJnvBIzD9z,False,True,ZEZE (feat. Travis Scott & Offset),77,5,track,album,Dying to Live,2018,0.861,0.603,8,-5.788,0,0.176,0.0521,0.0,0.0924,0.504,98.043,Rap
348,1,205426,True,5ry2OE6R2zPQFDO85XkgRb,False,True,Money In The Grave (Drake ft. Rick Ross),78,2,track,single,The Best In The World Pack,2019,0.831,0.502,10,-4.045,0,0.046,0.101,0.0,0.122,0.101,100.541,Rap
353,1,127934,False,0FzEq5yepkq03NI8axcOBu,False,True,"Save Me, Please",73,1,track,single,First Draft,2022,0.641,0.299,8,-10.046,1,0.0285,0.865,1.35e-06,0.126,0.561,143.121,Rap
354,1,146470,False,4cacyP5c3PMlfnyjpg13xW,False,True,Betty (Get Money),88,1,track,single,Betty (Get Money),2022,0.723,0.772,1,-6.784,1,0.0792,0.00524,1.15e-05,0.367,0.58,102.004,Rap
