disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,119120,False,2p5THyuNwpJ9c7ex3TN383,False,True,Nowesind,70,1,track,single,Nowesind,2022,classical,0.304,0.0902,10,-32.824,1,0.0489,0.903,0.907,0.111,0.318,114.487,4
1,122125,False,2UscVwaSo0fbaX5QxVgqH8,False,True,Hourglass,67,1,track,single,Hourglass,2022,classical,0.431,0.00807,4,-29.783,0,0.0459,0.995,0.932,0.112,0.334,77.745,4
1,162160,False,0I9HIOTtaXrX968btEa3DA,False,True,Box of Memories,65,1,track,single,Box of Memories,2022,classical,0.3,0.0464,2,-27.828,1,0.0429,0.986,0.897,0.105,0.172,129.952,4
1,176000,False,6XTKYGyydndSUV3OHHDwZU,False,True,A Bad Dream That Will Pass Away,64,1,track,single,A Bad Dream That Will Pass Away,2022,classical,0.386,0.0552,10,-31.201,1,0.0395,0.992,0.942,0.0805,0.247,111.914,3
1,110868,False,0Nxz7Bf7EZgGVzaH4McTd2,False,True,Reflections,64,1,track,single,Reflections,2022,classical,0.361,0.0364,7,-27.7,1,0.0421,0.992,0.932,0.0955,0.186,92.626,4
1,216213,False,6MzbO6YS0M6tjwT93hjAl0,False,True,Ave María (Arr. Víkingur Ólafsson) - Upright Piano,65,2,track,single,Kaldalóns: Ave María (Arr. Víkingur Ólafsson),2022,classical,0.33,0.00357,3,-33.142,1,0.0339,0.995,0.953,0.0989,0.121,100.741,3
1,149758,False,6V3EqKAHRMDKUYYPtD0lVQ,False,True,Afterthought,64,1,track,single,Afterthought,2022,classical,0.345,0.0195,0,-29.871,1,0.0409,0.99,0.87,0.0951,0.461,122.677,4
1,139533,False,0ZZcxfVdAMt4TkyUY5y4eF,False,True,Alone In Paris,63,1,track,single,Alone In Paris,2022,classical,0.489,0.0547,0,-29.421,0,0.039,0.988,0.954,0.0974,0.0563,70.778,3
1,132954,False,4XhZgQHy6yNEB5M3NhZXAG,False,True,Dear Buddy,62,1,track,single,Dear Buddy,2022,classical,0.48,0.0171,0,-28.44,1,0.0357,0.992,0.942,0.0908,0.136,97.119,4
1,130250,False,4RBuB7D4zW3dy6ZvuQgN7c,False,True,Skagerrak,62,1,track,single,Skagerrak,2022,classical,0.301,0.0248,0,-32.552,1,0.0345,0.979,0.907,0.107,0.0831,96.67,4
1,161469,False,4Z94Nth1RThACL5ohW5xpy,False,True,Night Solace,61,1,track,single,Night Solace,2022,classical,0.412,0.0556,11,-25.696,1,0.0307,0.98,0.908,0.108,0.201,145.978,3
1,171608,False,6HIRhDZd8E7MMkfZDLpV48,False,True,Prélude,62,4,track,album,Somnio Novo,2022,classical,0.107,0.0214,0,-33.248,0,0.0473,0.963,0.877,0.107,0.064,151.531,3
1,114627,False,0D634fov9hm0Yt2wTyAZ4M,False,True,Bubbles,61,1,track,single,Bubbles,2022,classical,0.396,0.0155,0,-25.337,1,0.0498,0.994,0.857,0.0924,0.209,117.177,3
1,134706,False,0rlR7gBOx5jfIvVsPfGQsC,False,True,Sunday Morning,62,1,track,single,Sunday Morning,2022,classical,0.348,0.0143,6,-33.971,1,0.0406,0.993,0.93,0.102,0.304,70.771,4
1,161889,False,5Ze2cIMQcXqJQ0QdhX5ZQ1,False,True,Northern Ontario,61,1,track,single,Northern Ontario,2022,classical,0.394,0.0121,1,-30.287,0,0.053,0.995,0.951,0.0755,0.161,92.35,3
1,189906,False,5YvY66JItF2jFFKeB27pmO,False,True,pt. 1 Owl Light,62,1,track,single,pt. 1 Owl Light,2022,classical,0.442,0.0992,0,-22.153,1,0.0346,0.983,0.852,0.0975,0.213,113.645,3
1,146812,False,0RdeSJMPOXBb8a1MmEP7Fq,False,True,Svaj,61,1,track,single,Svaj,2022,classical,0.3,0.0572,0,-29.935,1,0.0382,0.96,0.89,0.111,0.193,129.894,4
1,134813,False,14hTLrmyfyayhZw8gERDBX,False,True,"Trio Sonata in B Minor, H. 567: III. Presto",2,487,track,album,Bach: Autumn Classical,2022,classical,0.511,0.308,11,-16.589,0,0.0611,0.884,0.109,0.144,0.86,136.388,4
1,181792,False,2aLgFG14lYLiV8YYziZI7Q,False,True,Letting Go,60,1,track,single,Letting Go,2022,classical,0.361,0.0201,7,-27.554,1,0.0371,0.991,0.933,0.0947,0.151,146.926,4
1,211406,False,0B1sCHB2VivYAQHtyuoJ2D,False,True,I Giorni,3,4,track,compilation,Piano Moods: Wake Up,2022,classical,0.639,0.0926,2,-26.017,1,0.0477,0.995,0.911,0.0959,0.294,96.016,3
1,418538,False,7xtFabIWJTr6yYSevX0iqr,False,True,I Giorni,0,2,track,compilation,Stress Free Music,2022,classical,0.458,0.119,2,-23.452,1,0.0542,0.989,0.91,0.0935,0.0714,114.551,3
1,479048,False,65x2fJ8jRx9uVLTVGhVo1t,False,True,Una mattina,4,5,track,compilation,Neoclassical Piano,2022,classical,0.363,0.0345,9,-25.048,0,0.0691,0.994,0.921,0.0827,0.0364,120.953,4
1,322026,False,1wnTtrldi2jKB9dHiE64l5,False,True,Le onde,0,24,track,compilation,Neoclassical Piano,2022,classical,0.444,0.218,2,-23.182,1,0.0472,0.989,0.89,0.0889,0.0759,105.568,3
1,269262,False,7uimZ8cTVP37PjLy9c9oE7,False,True,Primavera,2,4,track,compilation,Piano Moods: Energy,2022,classical,0.569,0.0874,0,-26.745,0,0.0459,0.992,0.855,0.122,0.256,122.018,3
1,479048,False,4wRZfqXBKUFpkxPSiAZ9wl,False,True,Una mattina,0,23,track,compilation,October Classical Playlist,2022,classical,0.363,0.0345,9,-25.048,0,0.0691,0.994,0.921,0.0827,0.0364,120.953,4
1,211406,False,7Dz1SK05jX5F8M5TPIebqr,False,True,I Giorni,0,25,track,compilation,In the Mood for Piano,2022,classical,0.639,0.0926,2,-26.017,1,0.0477,0.995,0.911,0.0959,0.294,96.016,3
1,386990,False,6OERIM0AB6mlwQysCaHwTd,False,True,Nuvole bianche,0,16,track,compilation,Stress Free Music,2022,classical,0.391,0.194,8,-21.439,1,0.0569,0.992,0.918,0.0975,0.0375,105.127,4
1,303333,False,5iCwPMUbYMThBg5pmpvxlD,False,True,Night,1,20,track,compilation,Piano Evening,2022,classical,0.316,0.0573,3,-24.121,1,0.0515,0.988,0.879,0.12,0.0373,81.07,3
1,329210,False,0lwKNmtUaO8tgWlzvyVETS,False,True,In un'altra vita,0,27,track,compilation,Neoclassical Piano,2022,classical,0.328,0.226,9,-20.922,0,0.0493,0.984,0.907,0.107,0.0881,99.937,4
1,277837,False,3dP79tDmQKEkZcAyKOUf7Q,False,True,Fuori dalla notte,0,26,track,compilation,October Classical Playlist,2022,classical,0.532,0.071,11,-21.959,0,0.0516,0.993,0.915,0.0804,0.118,89.974,3
1,429560,False,50nes07243PO23dwBQBSMe,False,True,I Giorni,0,16,track,compilation,Neoclassical Piano,2022,classical,0.31,0.127,2,-25.041,1,0.0468,0.99,0.923,0.0994,0.0651,128.296,4
1,312830,False,4mi76m68H8dBdkaMD3rrdy,False,True,Bella notte,0,11,track,compilation,Neoclassical Piano,2022,classical,0.273,0.105,9,-24.231,0,0.0494,0.991,0.94,0.0901,0.0531,108.159,3
1,261308,False,2vz6Zep5xyCIAZgIroYL1X,False,True,"Feed the Birds - From ""Mary Poppins""",56,1,track,single,"Feed the Birds (From ""Mary Poppins"")",2022,classical,0.46,0.03,1,-22.209,1,0.0697,0.987,0.897,0.0975,0.0535,133.167,4
1,141500,False,2JWORFavKKenbRigLBM0Uj,False,True,Love Letter,59,1,track,single,Love Letter,2022,classical,0.392,0.018,1,-27.064,1,0.0375,0.995,0.903,0.0954,0.14,66.99,3
1,138500,False,0utTxlkXq7mv67jgyL7XEg,False,True,Eternal Light,59,1,track,single,Eternal Light,2022,classical,0.46,0.049,5,-27.913,1,0.0531,0.995,0.938,0.104,0.483,142.786,4
