disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,157477,False,5uU1uuyaUIBOiiUSQG7Wl3,False,True,You Proof,86,1,track,single,You Proof,2022,country,0.731,0.85,9,-4.913,1,0.0336,0.252,0.0,0.605,0.644,119.706,4
1,228013,False,3WMj8moIAXJhHsyLaqIIHI,False,True,Something in the Orange,88,1,track,single,Something in the Orange,2022,country,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,3
1,206106,False,200x8ONbPfFzByUr3fVz46,False,True,She Had Me At Heads Carolina,83,4,track,album,Stereotype,2022,country,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,4
1,207540,False,4686eQ81DEswHa90bcdlC9,False,True,Rock and A Hard Place,84,1,track,single,Rock and A Hard Place,2022,country,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,3
1,224426,False,28n8z9IQKyjMPxmvYMBqZa,False,True,The Kind of Love We Make,82,1,track,single,The Kind of Love We Make,2022,country,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,4
1,215571,True,6NHpyYvJyQsg2nXXzGYc2R,False,True,Thought You Should Know,79,1,track,single,Thought You Should Know,2022,country,0.529,0.695,6,-6.174,1,0.0278,0.488,1.24e-05,0.142,0.514,139.993,4
1,189780,False,6AqwH2Y9FJwhUE2dCSkw1u,False,True,5 Foot 9,80,1,track,single,5 Foot 9,2022,country,0.602,0.796,5,-5.609,1,0.0465,0.146,0.0,0.125,0.53,106.005,4
1,183789,False,6Tm4Io4ct4w14nB1EUzsY3,False,True,Whiskey On You,80,1,track,single,Whiskey On You,2022,country,0.479,0.768,8,-5.204,1,0.0312,7.02e-05,0.00549,0.121,0.576,110.024,4
1,186790,False,6HBRLaSQ7NB8MNlaqzYen1,False,True,What My World Spins Around,79,1,track,single,What My World Spins Around,2022,country,0.675,0.726,2,-6.459,1,0.0461,0.105,0.0,0.153,0.671,124.872,4
1,232058,False,5gVCfYmQRPy1QJifP8f5gg,False,True,Fall In Love,79,1,track,single,Fall In Love,2022,country,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962,4
1,226975,False,1TUuhV75FeOF6UObRsABo2,False,True,Don't Think Jesus,76,1,track,single,Don't Think Jesus,2022,country,0.578,0.431,2,-7.034,1,0.0269,0.469,0.0,0.137,0.21,116.979,3
1,199733,False,4RG7P0CXQ4pe0OeCAHjX5L,False,True,Wild as Her,78,1,track,single,Wild as Her,2022,country,0.504,0.736,0,-6.079,1,0.0352,0.00216,0.0,0.129,0.46,148.014,4
1,161853,False,58UKC45GPNTflCN6nwCUeF,False,True,Fancy Like,78,6,track,album,Country Stuff The Album,2022,country,0.647,0.765,1,-6.459,1,0.06,0.111,0.0,0.315,0.855,79.994,4
1,174560,False,1brnLTvarI9D1hLP6z2Ar8,False,True,Thank God,77,7,track,album,Different Man,2022,country,0.738,0.455,3,-8.735,1,0.0352,0.695,0.0,0.107,0.441,99.945,4
1,224426,False,48UKTR66uUOT9LaUvooTNx,False,True,The Kind of Love We Make,79,3,track,album,Growin' Up,2022,country,0.608,0.745,1,-4.13,1,0.0277,0.0226,6.47e-06,0.0942,0.464,102.025,4
1,211739,False,0OWhKvvsHptt6vnnNUSM9a,False,True,Oklahoma Smokeshow,77,4,track,single,Summertime Blues,2022,country,0.544,0.573,8,-5.694,1,0.0356,0.0958,0.0,0.104,0.233,122.977,4
1,223119,False,29zZmiBDLykYYTj7RN6VhV,False,True,Tennessee Orange,77,1,track,single,Tennessee Orange,2022,country,0.38,0.488,9,-6.637,1,0.029,0.126,7.23e-06,0.115,0.268,156.031,3
1,179294,False,7lNezbnIXBbgNmFOa9dt1c,False,True,Where It Ends,77,1,track,single,Where It Ends,2022,country,0.431,0.837,9,-5.067,1,0.0432,0.259,0.0,0.0879,0.648,170.041,4
1,268856,False,5jfhLCSIFUO4ndzNRh4w4G,False,True,"Burn, Burn, Burn",77,1,track,single,"Burn, Burn, Burn",2022,country,0.508,0.296,3,-10.513,1,0.0755,0.897,5e-05,0.11,0.134,82.532,4
