disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,147135,False,3P4Lsg2MNqG8XLXZJUo4GT,False,True,Sway - Sped Up Version,67,1,track,single,Sway (Sped Up Version),2022,jazz,0.608,0.671,2,-5.643,1,0.0422,0.73,1.88e-06,0.0849,0.872,161.768,4
1,210666,False,0fy3MozJBrM858gEIo3Yec,False,True,FUNKONAUT,59,1,track,single,FUNKONAUT,2022,jazz,0.582,0.882,4,-3.061,1,0.367,0.00809,0.013,0.205,0.346,89.956,4
1,262266,False,4xVXe1VS5zlQyECVk6GRrL,False,True,Sweet Love,58,1,track,single,Sweet Love,2022,jazz,0.505,0.669,10,-7.255,0,0.0231,0.428,0.0,0.0609,0.689,87.541,4
1,267893,False,3ObWIAbtVhxTPguDsHT9vf,False,True,Evening Silence,63,1,track,single,A Simple Book,2022,jazz,0.432,0.137,8,-16.853,1,0.0318,0.96,0.906,0.121,0.111,89.117,4
1,202285,False,71LZ7lwCisTG3H9UXKraTe,False,True,Color Of Your Soul,58,1,track,single,Color Of Your Soul,2022,jazz,0.486,0.964,9,-3.615,1,0.0548,0.00147,0.0628,0.101,0.177,139.958,4
1,262707,False,06henIQqvVk2vAKj1yQtTp,False,True,Maze of Tranquility,63,1,track,single,Maze of Tranquility,2022,jazz,0.488,0.134,7,-17.904,1,0.0327,0.76,0.219,0.0826,0.0507,112.892,4
1,404106,False,4QUlDSxJVMTYKaz3xBQ8F9,False,True,Early Morning Thoughts,63,2,track,single,Early Morning Thoughts,2022,jazz,0.457,0.141,6,-18.76,1,0.0357,0.898,0.905,0.105,0.0922,93.872,4
1,203480,False,5p5CfayA88AVKc76DcwK5e,False,True,Easy To Love,62,1,track,single,Easy To Love,2022,jazz,0.396,0.169,9,-19.164,0,0.0382,0.952,0.94,0.137,0.126,177.236,3
1,214798,False,3CewMyxVNsiu94v6Vm0SS2,False,True,It's You Or No One,61,1,track,single,It's You Or No One,2022,jazz,0.52,0.157,7,-19.608,0,0.0419,0.976,0.914,0.185,0.134,118.252,4
1,287479,False,1QVNZXoguyS3bBzMldMn7i,False,True,Pensativa,61,2,track,single,I'm Glad There's You,2022,jazz,0.503,0.148,9,-18.948,0,0.0453,0.954,0.817,0.111,0.0585,118.315,4
