disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,linked_from,album_type,album_name,release_year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,156943,False,3nqQXoyQOWXiESFLlDF1hG,False,True,Unholy (feat. Kim Petras),98,1,track,,single,Unholy (feat. Kim Petras),2022,pop,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,4
1,232114,True,5CM4UuQ9Gnd6K2YyKGPMoK,False,True,Bad Habit,92,1,track,,single,Bad Habit,2022,pop,0.686,0.507,1,-7.097,1,0.0357,0.626,7.51e-05,0.383,0.69,168.955,4
1,148485,False,4h9wh7iOZ0GGn8QVp4RAOB,False,True,I Ain't Worried,97,1,track,,single,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022,pop,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
1,233456,False,6xGruZOHLs39ZbVccQTuPZ,False,True,Glimpse of Us,95,1,track,,single,Glimpse of Us,2022,pop,0.44,0.317,8,-9.258,1,0.0531,0.891,4.78e-06,0.141,0.268,169.914,3
1,170977,True,4C6Uex2ILwJi9sZXRdmqXp,False,True,Super Freaky Girl,93,1,track,,single,Super Freaky Girl,2022,pop,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4
1,175238,True,4uUG5RXrOk84mYEfFvj3cK,False,True,I'm Good (Blue),98,1,track,,single,I'm Good (Blue),2022,pop,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,4
1,167303,False,4LRPiXqCikLlN15c3yImP7,False,True,As It Was,96,1,track,,single,As It Was,2022,pop,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,4
1,218364,True,3F5CgOj3wFlRv51JsHbxhe,False,True,Jimmy Cooks (feat. 21 Savage),91,14,track,,album,"Honestly, Nevermind",2022,pop,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4
1,182906,True,0hquQWY3xvYqN4qtiquniF,False,True,Vegas (From the Original Motion Picture Soundtrack ELVIS),90,1,track,,single,Vegas (From the Original Motion Picture Soundtrack ELVIS),2022,pop,0.801,0.601,8,-7.574,0,0.255,0.0777,3.23e-05,0.145,0.74,159.969,4
1,177954,False,1qEmFfgcLObUfQm0j1W2CK,False,True,Late Night Talking,93,2,track,,album,Harry's House,2022,pop,0.714,0.728,10,-4.595,1,0.0468,0.298,0.0,0.106,0.901,114.996,4
