disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,192840,True,0O6u0VJ46W86TxN9wgyqDj,False,True,I Like You (A Happier Song) (with Doja Cat),92,5,track,album,Twelve Carat Toothache,2022,rap,0.733,0.67,5,-6.009,1,0.0751,0.121,0.0,0.121,0.472,100.964,4
1,218364,True,3F5CgOj3wFlRv51JsHbxhe,False,True,Jimmy Cooks (feat. 21 Savage),91,14,track,album,"Honestly, Nevermind",2022,rap,0.529,0.673,0,-4.711,1,0.175,0.000307,2.41e-06,0.093,0.366,165.921,4
1,170977,True,4C6Uex2ILwJi9sZXRdmqXp,False,True,Super Freaky Girl,93,1,track,single,Super Freaky Girl,2022,rap,0.95,0.891,2,-2.653,1,0.241,0.0645,1.77e-05,0.309,0.912,133.01,4
1,189893,True,59nOXPmaKlBfGMDeOVGrIK,False,True,WAIT FOR U (feat. Drake & Tems),90,7,track,album,I NEVER LIKED YOU,2022,rap,0.463,0.642,1,-4.474,1,0.34,0.314,0.0,0.0686,0.339,83.389,4
1,151776,True,2TSfStvlAMLw89u3tali79,False,True,Dah Dah DahDah,83,2,track,album,Who is Nardo Wick?? (Deluxe),2022,rap,0.66,0.373,11,-10.234,1,0.595,0.149,0.0,0.106,0.35,167.912,4
1,216062,True,3XgGQ1wjo5khvq2UImjyNF,False,True,ALL MINE,81,6,track,album,WASTELAND,2022,rap,0.617,0.378,9,-8.54,1,0.0315,0.428,9.16e-05,0.11,0.22,141.967,4
1,195950,True,0fX4oNGBWO3dSGUZcVdVV2,False,True,N95,84,2,track,album,Mr. Morale & The Big Steppers,2022,rap,0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,0.408,139.956,4
1,178176,True,0g2Bbgy7P41pFjMWJuzsf4,False,True,STAYING ALIVE (feat. Drake & Lil Baby),84,1,track,single,STAYING ALIVE (feat. Drake & Lil Baby),2022,rap,0.718,0.461,4,-7.676,0,0.0797,0.068,0.0,0.283,0.181,129.953,4
1,243227,True,4rmVZajAF7PkrCagGPHbqa,False,True,Sticky,83,7,track,album,"Honestly, Nevermind",2022,rap,0.853,0.495,6,-14.63,1,0.14,0.0917,0.000217,0.0844,0.0774,137.027,4
1,150000,True,2BJWxD8xKrDv8vneTvTIm9,False,True,Beat the Odds,83,1,track,single,Beat the Odds,2022,rap,0.498,0.625,8,-7.452,0,0.342,0.054,0.0,0.175,0.478,84.821,4
1,185785,True,3GdWfmQBiiJrDUvSZS1bGv,False,True,Never Sleep (with Lil Baby feat. Travis Scott),80,1,track,single,Never Sleep,2022,rap,0.819,0.651,1,-5.829,1,0.169,0.00639,0.0,0.122,0.501,139.957,4
1,239026,True,2g6tReTlM2Akp41g0HaeXN,False,True,Die Hard,82,4,track,album,Mr. Morale & The Big Steppers,2022,rap,0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,4
1,148816,True,6EbVuwU7EnKeF2hdpViXCH,False,True,Die Young (feat. 347aidan),82,1,track,single,Die Young (feat. 347aidan),2022,rap,0.808,0.582,11,-6.26,1,0.338,0.827,0.0,0.111,0.675,77.471,4
1,162875,True,0N9C80kcgL0xXGduKnYKWi,False,True,Love Lost,82,5,track,album,"I Love Life, Thank You",2022,rap,0.735,0.812,2,-4.417,1,0.151,0.528,0.0,0.186,0.584,109.835,4
1,172933,True,1qMMYpVatbRITKCfq1gasi,False,True,PUFFIN ON ZOOTIEZ,81,5,track,album,I NEVER LIKED YOU,2022,rap,0.883,0.657,8,-5.748,1,0.305,0.0603,0.0,0.128,0.284,124.992,4
1,142657,True,0QNNd0qMCDbraS1nQPg3aA,False,True,HOTEL LOBBY (Unc & Phew),80,1,track,single,HOTEL LOBBY (Unc & Phew),2022,rap,0.821,0.636,11,-4.479,1,0.169,0.142,0.0,0.233,0.163,127.961,4
1,148571,False,06JvOZ39sK8D8SqiqfaxDU,False,True,True Love,82,1,track,single,True Love,2022,rap,0.712,0.861,5,-5.487,0,0.25,0.0182,6.09e-06,0.511,0.388,84.042,4
1,227527,True,1CfuBY3BDdKpooQ9L5zgUc,False,True,Cigarettes,79,3,track,album,Fighting Demons (Deluxe),2022,rap,0.587,0.614,2,-6.344,1,0.0435,0.0306,0.0,0.399,0.451,160.075,4
1,188059,True,60PTOzcoFycWBICdumIsFQ,False,True,FOR FUN,76,2,track,single,RED & WHITE,2022,rap,0.775,0.461,7,-6.594,0,0.124,0.157,0.0,0.0687,0.131,134.028,4
1,161636,True,7fSM2taFBEB1WNZl8AOIoo,False,True,Detox,80,1,track,single,Detox,2022,rap,0.845,0.503,1,-7.021,1,0.334,0.027,0.0,0.116,0.416,147.031,4
1,238145,True,0hPRWztAIbNkt6GcFcLiqF,False,True,Matte Black,79,2,track,album,"Sing Me a Lullaby, My Sweet Temptation",2022,rap,0.877,0.826,10,-3.75,0,0.206,0.122,1.05e-05,0.104,0.814,75.003,4
1,172714,False,0xzI1KAr0Yd9tv8jlIk3sn,False,True,Bad Decisions (with BTS & Snoop Dogg),89,1,track,single,Bad Decisions (with BTS & Snoop Dogg),2022,rap,0.762,0.861,0,-3.296,1,0.0955,0.0185,0.0,0.264,0.955,120.048,4
1,202285,True,1QPreu0BNOrUfEb8HTd2qG,False,True,Rich Spirit,79,7,track,album,Mr. Morale & The Big Steppers,2022,rap,0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,0.457,95.977,4
1,211649,True,3uJFmluXzYedoJcvhpC1AW,False,True,Hot Shit (feat. Ye & Lil Durk),79,1,track,single,Hot Shit (feat. Ye & Lil Durk),2022,rap,0.878,0.685,9,-5.28,1,0.225,0.00152,0.0,0.0753,0.523,157.003,4
1,171319,True,1oc92BMKYkNxK17C2GtyRM,False,True,Distraction,78,1,track,single,Distraction,2022,rap,0.713,0.689,11,-5.99,1,0.255,0.16,0.0,0.136,0.63,156.934,4
2,220779,True,3lzUeaCbcCDB5IXYfqWRlF,False,True,Silent Hill,78,3,track,album,Mr. Morale & The Big Steppers,2022,rap,0.907,0.577,1,-6.737,0,0.0767,0.438,3.19e-05,0.137,0.801,140.07,4
1,175476,True,09riz9pAPJyYYDVynE5xxY,False,True,1000 Blunts,78,4,track,album,"Sing Me a Lullaby, My Sweet Temptation",2022,rap,0.83,0.698,5,-6.517,0,0.077,0.224,1.02e-06,0.191,0.595,132.99,4
1,137107,True,5hHvFrMnwic82WwRLr4WY0,False,True,Her,78,5,track,album,Traumazine,2022,rap,0.945,0.848,1,-4.76,1,0.326,0.374,3.31e-05,0.101,0.819,119.918,4
1,136266,True,3XOalgusokruzA5ZBA2Qcb,False,True,pushin P (feat. Young Thug),79,2,track,album,DS4EVER,2022,rap,0.773,0.422,1,-4.572,0,0.187,0.00783,0.00693,0.129,0.488,77.502,1
1,192427,True,5uVW9FWVaQde0lfF4hYs4C,False,True,CODE (feat. Moneybagg Yo),78,1,track,single,CODE (feat. Moneybagg Yo),2022,rap,0.599,0.598,4,-7.015,0,0.124,0.0502,5.01e-05,0.173,0.343,179.49,4
1,178000,True,2xZ0zfuDTv5LxLhEgD82PG,False,True,Awkward,77,20,track,album,Ctrl (Deluxe),2022,rap,0.618,0.474,5,-12.097,1,0.0789,0.182,0.000122,0.108,0.397,119.999,4
1,166039,True,3wspfG772mi1c25JpnNOVP,False,True,Walk,76,1,track,single,Walk/Spin,2022,rap,0.817,0.512,8,-6.943,1,0.0984,0.037,0.0,0.216,0.17,130.04,4
1,201334,True,7mFj0LlWtEJaEigguaWqYh,False,True,Sweetest Pie,82,1,track,single,Sweetest Pie,2022,rap,0.814,0.628,7,-7.178,1,0.221,0.167,0.0,0.101,0.677,123.977,4
1,152195,True,2FWeNvUo79OeiHWoR1bUsO,False,True,Put It On Me,76,1,track,album,Realer 2,2022,rap,0.665,0.666,9,-7.009,1,0.429,0.0331,0.0,0.0841,0.844,164.205,4
1,158431,True,2BSl2gSFHdzJAMus74qzNj,False,True,Backstage Passes (feat. Jack Harlow),77,6,track,album,I Never Felt Nun,2022,rap,0.855,0.478,1,-8.31,1,0.345,0.145,0.0,0.101,0.536,153.074,4
1,191158,True,5ie5OPdaP9fivYaKcjwKF1,False,True,Alone,74,1,track,album,Beautiful Mind,2022,rap,0.596,0.545,3,-6.911,0,0.0368,0.703,0.0,0.0811,0.0923,82.07,4
1,200000,True,7Fege3yv4dvehB3NdRBGwI,False,True,Banking On Me,77,1,track,single,Banking On Me,2022,rap,0.793,0.308,0,-10.414,0,0.0466,0.613,1.68e-05,0.0953,0.46,135.143,4
1,193346,True,0lEjxUUlKqjqXrVlIHFduD,False,True,P power (feat. Drake),76,6,track,album,DS4EVER,2022,rap,0.828,0.591,1,-6.217,1,0.109,0.0199,0.000323,0.361,0.202,119.251,4
1,185857,True,7DwcBgdzqhFJltEaV1XF81,False,True,Cooped Up (with Roddy Ricch),79,1,track,single,Cooped Up,2022,rap,0.669,0.773,0,-5.619,1,0.153,0.038,0.0,0.113,0.377,93.923,4
1,181393,True,7ohROa13QK43JBRqfCmz4P,False,True,What Happened To Virgil (feat. Gunna),76,9,track,album,7220,2022,rap,0.795,0.526,6,-9.086,0,0.204,0.067,2e-06,0.134,0.194,140.037,4
1,213975,True,6ws54n2IzyrIxxyzlG2bVJ,False,True,Right On,77,1,track,single,Right On,2022,rap,0.535,0.618,2,-5.668,1,0.382,0.0245,0.0,0.103,0.211,165.991,4
1,105693,True,2mzlyJ8Gb8cFMJvfENKnJQ,False,True,Treesha,76,1,track,single,Treesha,2022,rap,0.545,0.545,2,-8.631,1,0.301,0.0768,0.0,0.121,0.122,163.847,4
1,226115,True,1NtyeXryylf8HWXnxVTD3v,False,True,Yungen (feat. Jack Harlow),75,2,track,album,Beautiful Mind,2022,rap,0.614,0.744,11,-5.52,1,0.125,0.309,1.14e-06,0.173,0.589,146.02,4
1,222497,True,28qA8y1sz0FTuSapsCxNOG,False,True,Father Time (feat. Sampha),78,5,track,album,Mr. Morale & The Big Steppers,2022,rap,0.514,0.779,10,-4.365,0,0.344,0.181,0.0,0.099,0.517,152.869,4
