disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,148485,False,4h9wh7iOZ0GGn8QVp4RAOB,False,True,I Ain't Worried,97,1,track,single,"I Ain’t Worried (Music From The Motion Picture ""Top Gun: Maverick"")",2022,rock,0.704,0.797,0,-5.927,1,0.0475,0.0826,0.000745,0.0546,0.825,139.994,4
1,202245,False,72yP0DUlWPyH8P7IoxskwN,False,True,Hold Me Closer,90,1,track,single,Hold Me Closer,2022,rock,0.667,0.75,0,-4.602,1,0.0906,0.0746,0.000198,0.197,0.486,126.041,4
1,206106,False,200x8ONbPfFzByUr3fVz46,False,True,She Had Me At Heads Carolina,83,4,track,album,Stereotype,2022,rock,0.607,0.912,8,-3.449,1,0.0611,0.124,0.0,0.332,0.722,134.944,4
1,165264,False,0HqZX76SFLDz2aW8aiqi7G,False,True,Bones,89,1,track,single,Bones,2022,rock,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.571,114.071,4
1,161853,False,58UKC45GPNTflCN6nwCUeF,False,True,Fancy Like,78,6,track,album,Country Stuff The Album,2022,rock,0.647,0.765,1,-6.459,1,0.06,0.111,0.0,0.315,0.855,79.994,4
1,181990,False,3SeeaIXnrCfT88vHVCRWHl,False,True,Last Night Lonely,75,1,track,single,Last Night Lonely,2022,rock,0.646,0.816,6,-2.65,1,0.0269,0.00496,0.0,0.179,0.865,102.972,4
1,170560,False,4wBjKhJx6JnGoNJfJs24pd,False,True,Thinking 'Bout You (feat. MacKenzie Porter),74,2,track,album,Blue In The Sky,2022,rock,0.403,0.711,8,-4.189,1,0.0569,0.137,0.0,0.109,0.801,203.803,4
2,165264,False,54ipXppHLA8U4yqpOFTUhr,False,True,Bones,84,1,track,album,Mercury - Acts 1 & 2,2022,rock,0.772,0.75,5,-3.67,0,0.0455,0.0201,0.0,0.074,0.587,114.061,4
1,262623,True,0uBdQzKghx88d2Lp8SLFKJ,False,True,I'm In Love With You,79,1,track,single,I'm In Love With You,2022,rock,0.668,0.902,2,-3.924,1,0.0386,0.169,8.74e-05,0.198,0.913,119.008,4
1,173381,False,3CIyK1V4JEJkg02E4EJnDl,False,True,Enemy (with JID) - from the series Arcane League of Legends,82,1,track,album,Mercury - Acts 1 & 2,2022,rock,0.728,0.783,11,-4.424,0,0.266,0.237,0.0,0.434,0.555,77.011,4
1,211933,False,16Sdmdt7jpibASwEsO0s9j,False,True,Worth A Shot (feat. Dierks Bentley),71,1,track,single,Worth A Shot (feat. Dierks Bentley),2022,rock,0.554,0.809,0,-4.893,1,0.039,0.00481,0.00156,0.111,0.462,159.989,4
