disc_number,duration_ms_x,explicit,id,is_local,is_playable,name,popularity,track_number,type_x,album_type,album_name,release_year,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
1,206000,False,1elhmWW7Bv0MOQj2gAsyoV,False,True,Make You Say,76,1,track,single,Make You Say,2022,techno,0.687,0.61,8,-4.713,0,0.0499,0.351,0.0,0.175,0.649,128.15,4
1,206222,False,7Bg90Jhm3Dhtu7m2YCpo6C,False,True,Children - Radio Edit,62,1,track,single,Children,2022,techno,0.553,0.948,1,-9.628,1,0.037,0.00881,0.818,0.102,0.0389,134.996,4
1,210400,False,5QHRON3xuXFOWlXeZU4oVF,False,True,Stay,0,12,track,compilation,Weekend Baby,2022,techno,0.689,0.623,5,-5.025,0,0.0621,0.254,0.0,0.113,0.546,101.998,4
1,210400,False,0AKy9Gcrl0g3cQynsvlBM6,False,True,Stay,0,15,track,compilation,Beats Electro Mood,2022,techno,0.689,0.623,5,-5.025,0,0.0621,0.254,0.0,0.113,0.546,101.998,4
1,271426,False,3uOgfu4mBKsrPuKD65BJGy,False,True,Clarity,0,48,track,compilation,10's Music Grandi Successi,2022,techno,0.509,0.781,8,-3.48,1,0.0721,0.0391,0.0,0.0749,0.176,128.002,4
1,184732,False,2bwEC2m6XsJXmT73Oy7YzS,False,True,The Middle,0,28,track,compilation,10's Music Grandi Successi,2022,techno,0.753,0.657,7,-3.061,1,0.045,0.173,0.0,0.112,0.435,107.013,4
1,184732,False,61kSPL7U1AmuP4By1WXo9x,False,True,The Middle,0,5,track,compilation,Обратно в клас - pop,2022,techno,0.753,0.657,7,-3.061,1,0.045,0.173,0.0,0.112,0.435,107.013,4
1,271426,False,3Wd1EKFFLy7HZeZF7PEIge,False,True,Clarity,0,24,track,compilation,Workout Hits 2023,2022,techno,0.509,0.781,8,-3.48,1,0.0721,0.0391,0.0,0.0749,0.176,128.002,4
1,271426,False,30eX6DvAq7aftgIyYggQEc,False,True,Clarity,0,21,track,compilation,Beats Electro Mood,2022,techno,0.509,0.781,8,-3.48,1,0.0721,0.0391,0.0,0.0749,0.176,128.002,4
1,184732,False,5wzS6YhFe4VMDU3dgE15sA,False,True,The Middle,0,10,track,compilation,Summer Sweat,2022,techno,0.753,0.657,7,-3.061,1,0.045,0.173,0.0,0.112,0.435,107.013,4
1,391590,False,7i08AhQcrdD4GLlr2Pmamg,False,True,Dance With Me,62,1,track,single,Dance With Me EP,2022,techno,0.792,0.704,6,-7.181,0,0.0631,0.00213,0.564,0.123,0.472,124.003,4
1,220952,False,7aEivHwZvqNHoqsXoNKcWL,False,True,Mind Dimension - Tiësto Remix,62,1,track,single,Mind Dimension (Tiësto Remix),2022,techno,0.844,0.907,6,-5.432,1,0.147,0.0207,0.505,0.0419,0.0743,126.03,4
1,209920,False,0lqWG9VuWo6GcLwykvNsCr,False,True,Hawkins Square (ASOT 1089),39,44,track,album,ASOT 1089 - A State Of Trance Episode 1089,2022,techno,0.565,0.935,7,-8.091,0,0.0456,0.00041,0.89,0.0785,0.0378,129.781,4
1,239083,False,1kMObCQiYe5opqybH7ZNPD,False,True,Rave - Remix,62,1,track,single,Rave (Remix),2022,techno,0.732,0.627,11,-13.712,1,0.0524,0.000174,0.895,0.0981,0.266,131.007,4
1,400624,False,6cKTcheUC3OHDMI8QMKp08,False,True,Universal Consciousness,59,3,track,single,Universal Consciousness EP,2022,techno,0.738,0.91,9,-8.938,0,0.107,0.00118,0.874,0.0939,0.124,137.022,4
1,360000,False,1tkS8yt5NwTZkqFvZMxM0F,False,True,Rave Harder Techno Bass,67,1,track,single,Rave Harder Techno Bass,2022,techno,0.784,0.888,4,-6.617,0,0.165,0.0158,0.892,0.169,0.13,135.995,4
1,344000,False,0ko0sZ5hNieT3LRq2lOGl3,False,True,Les Gout,55,1,track,single,Les Gout,2022,techno,0.848,0.678,5,-8.783,0,0.0441,0.0887,0.24,0.125,0.536,120.005,4
1,509090,False,3dwDBE5AMcHLxemIAEp2xb,False,True,Future Dust - Original Mix,62,2,track,single,Silence EP,2022,techno,0.788,0.915,7,-4.904,1,0.0431,0.000695,0.839,0.0962,0.0934,132.005,4
1,432000,False,0evYoPRWnnQ6ACNC0LJPul,False,True,Up Down Jumper,60,1,track,single,Up Down Jumper,2022,techno,0.795,0.652,2,-8.042,1,0.0434,0.000379,0.881,0.0879,0.121,124.995,4
1,211029,False,5erkBzi1uzfVzRotIEDevu,False,True,My Paradise,60,1,track,single,My Paradise,2022,techno,0.749,0.74,10,-8.528,0,0.0313,0.0005,0.154,0.112,0.887,128.012,4
1,249504,False,4eBiWnUkMrUeUVHSSNeCKU,False,True,Eternal Summer (ABGT499D2) - Marsh Remix,38,12,track,album,Journey To ABGT500 pt.1,2022,techno,0.477,0.948,11,-7.018,0,0.0504,0.00187,0.892,0.111,0.276,123.107,4
1,178131,False,41Fq0oWTtuGes9RR6UhMw1,False,True,Boom Boom (feat. CHRSTPHR),52,1,track,single,Boom Boom (feat. CHRSTPHR),2022,techno,0.85,0.766,6,-7.143,0,0.189,0.0897,0.382,0.0911,0.779,125.987,4
1,400503,False,6ICfBGQAyxPZM7Ky073Afe,False,True,You Made It (Part II) - Mixed,31,11,track,album,Back To Mine: Tycho (DJ Mix),2022,techno,0.781,0.484,5,-12.28,0,0.0436,0.0856,0.884,0.193,0.404,105.991,4
1,322593,False,1R78jYPdE9DpcSFOvUdfBl,False,True,Modern Driveway - Mixed,31,10,track,album,Back To Mine: Tycho (DJ Mix),2022,techno,0.748,0.419,1,-12.099,1,0.072,0.76,0.948,0.0913,0.481,127.97,3
1,285596,False,68RzzvNAouCnFoLQB2G7NV,False,True,I Got U,0,11,track,compilation,Larga Vida al Electro,2022,techno,0.636,0.761,9,-7.752,0,0.035,0.00383,0.00784,0.0851,0.462,120.842,4
